County,State,total_population,white_total,black_total,aian_total,asian_total,nhopi_total,multiracial_total,white_total_pct,black_total_pct,aian_total_pct,asian_total_pct,nhopi_total_pct,multiracial_total_pct
Adams,WA,20151,18056,447,1109,287,11,241,89.6,2.22,5.5,1.42,0.05,1.2
Asotin,WA,22521,21087,144,356,184,58,692,93.63,0.64,1.58,0.82,0.26,3.07
Benton,WA,201803,181938,3379,2504,6850,473,6659,90.16,1.67,1.24,3.39,0.23,3.3
Chelan,WA,78421,73391,511,1497,929,193,1900,93.59,0.65,1.91,1.18,0.25,2.42
Clallam,WA,76011,65939,791,4243,1420,143,3475,86.75,1.04,5.58,1.87,0.19,4.57
Clark,WA,488502,420167,11609,5210,25227,4054,22235,86.01,2.38,1.07,5.16,0.83,4.55
Columbia,WA,4161,3855,17,80,39,49,121,92.65,0.41,1.92,0.94,1.18,2.91
Cowlitz,WA,108950,99052,974,2091,1981,403,4449,90.92,0.89,1.92,1.82,0.37,4.08
Douglas,WA,42820,40161,246,754,444,106,1109,93.79,0.57,1.76,1.04,0.25,2.59
Ferry,WA,7831,5966,40,1225,105,15,480,76.18,0.51,15.64,1.34,0.19,6.13
Franklin,WA,94680,86188,2175,1234,2214,406,2463,91.03,2.3,1.3,2.34,0.43,2.6
Garfield,WA,2221,2135,0,13,29,1,43,96.13,0,0.59,1.31,0.05,1.94
Grant,WA,98742,91284,1775,1923,1175,132,2453,92.45,1.8,1.95,1.19,0.13,2.48
Grays Harbor,WA,74161,64456,977,3928,1304,251,3245,86.91,1.32,5.3,1.76,0.34,4.38
Island,WA,84822,72374,2222,800,4536,515,4375,85.32,2.62,0.94,5.35,0.61,5.16
Jefferson,WA,31902,28855,312,828,631,85,1191,90.45,0.98,2.6,1.98,0.27,3.73
King,WA,2226300,1493409,156285,22706,411413,20308,122179,67.08,7.02,1.02,18.48,0.91,5.49
Kitsap,WA,270101,220256,8489,4627,15779,2956,17994,81.55,3.14,1.71,5.84,1.09,6.66
Kittitas,WA,46573,42939,465,544,1009,79,1537,92.2,1,1.17,2.17,0.17,3.3
Klickitat,WA,22431,20832,128,497,183,24,767,92.87,0.57,2.22,0.82,0.11,3.42
Lewis,WA,79481,73213,610,1522,961,192,2983,92.11,0.77,1.91,1.21,0.24,3.75
Lincoln,WA,10960,10363,47,198,59,8,285,94.55,0.43,1.81,0.54,0.07,2.6
Mason,WA,64980,56911,817,2977,978,311,2986,87.58,1.26,4.58,1.51,0.48,4.6
Okanogan,WA,42731,35071,275,5268,425,128,1564,82.07,0.64,12.33,0.99,0.3,3.66
Pacific,WA,21640,19466,201,590,524,27,832,89.95,0.93,2.73,2.42,0.12,3.84
Pend Oreille,WA,13742,12508,80,535,122,22,475,91.02,0.58,3.89,0.89,0.16,3.46
Pierce,WA,888303,656286,68268,14496,64795,15209,69249,73.88,7.69,1.63,7.29,1.71,7.8
San Juan,WA,17152,16133,98,162,262,21,476,94.06,0.57,0.94,1.53,0.12,2.78
Skagit,WA,129200,116454,1284,3616,3066,410,4370,90.13,0.99,2.8,2.37,0.32,3.38
Skamania,WA,12060,11201,62,201,138,20,438,92.88,0.51,1.67,1.14,0.17,3.63
Snohomish,WA,818702,637832,26438,12747,94388,5006,42291,77.91,3.23,1.56,11.53,0.61,5.17
Spokane,WA,515252,456598,10225,8926,13566,3050,22887,88.62,1.98,1.73,2.63,0.59,4.44
Stevens,WA,45570,40527,209,2608,354,90,1782,88.93,0.46,5.72,0.78,0.2,3.91
Thurston,WA,285803,233293,9228,4547,18465,2783,17487,81.63,3.23,1.59,6.46,0.97,6.12
Wahkiakum,WA,4191,3905,18,60,39,8,161,93.18,0.43,1.43,0.93,0.19,3.84
Walla Walla,WA,62201,56879,1356,852,1059,247,1808,91.44,2.18,1.37,1.7,0.4,2.91
Whatcom,WA,225300,194805,2767,7282,10092,751,9603,86.46,1.23,3.23,4.48,0.33,4.26
Whitman,WA,50131,41057,997,422,5270,117,2268,81.9,1.99,0.84,10.51,0.23,4.52
Yakima,WA,255952,223423,3876,15049,4341,566,8697,87.29,1.51,5.88,1.7,0.22,3.4
Alameda,CA,1671329,823593,184368,17797,540391,15761,89419,49.28,11.03,1.06,32.33,0.94,5.35
Alpine,CA,1129,767,4,290,18,0,50,67.94,0.35,25.69,1.59,0,4.43
Amador,CA,39752,35636,1066,925,665,116,1344,89.65,2.68,2.33,1.67,0.29,3.38
Butte,CA,219186,187742,4158,5547,10984,628,10127,85.65,1.9,2.53,5.01,0.29,4.62
Calaveras,CA,45905,41752,498,905,859,122,1769,90.95,1.08,1.97,1.87,0.27,3.85
Colusa,CA,21547,19630,282,594,337,130,574,91.1,1.31,2.76,1.56,0.6,2.66
Contra Costa,CA,1153526,751283,110064,11709,211118,6871,62481,65.13,9.54,1.02,18.3,0.6,5.42
Del Norte,CA,27812,21720,980,2692,861,54,1505,78.1,3.52,9.68,3.1,0.19,5.41
El Dorado,CA,192843,170936,2000,2574,9317,436,7580,88.64,1.04,1.33,4.83,0.23,3.93
Fresno,CA,999101,765202,57976,29725,111353,2815,32030,76.59,5.8,2.98,11.15,0.28,3.21
Glenn,CA,28393,25292,377,915,890,61,858,89.08,1.33,3.22,3.13,0.21,3.02
Humboldt,CA,135558,112830,2018,8637,3930,449,7694,83.23,1.49,6.37,2.9,0.33,5.68
Imperial,CA,181215,163444,6009,4496,3823,357,3086,90.19,3.32,2.48,2.11,0.2,1.7
Inyo,CA,18039,14404,219,2436,307,30,643,79.85,1.21,13.5,1.7,0.17,3.56
Kern,CA,900202,740959,56282,23718,48279,2454,28510,82.31,6.25,2.63,5.36,0.27,3.17
Kings,CA,152940,123647,11417,4905,6714,537,5720,80.85,7.47,3.21,4.39,0.35,3.74
Lake,CA,64386,56048,1351,2880,888,196,3023,87.05,2.1,4.47,1.38,0.3,4.7
Lassen,CA,30573,24740,2569,1301,489,263,1211,80.92,8.4,4.26,1.6,0.86,3.96
Los Angeles,CA,10039107,7098309,899166,143968,1545445,36651,315568,70.71,8.96,1.43,15.39,0.37,3.14
Madera,CA,157327,135183,6555,6982,4018,481,4108,85.92,4.17,4.44,2.55,0.31,2.61
