County,State,total_population,white_total_pct,black_total_pct,aian_total_pct,asian_total_pct,nhopi_total_pct,multiracial_total_pct
Adams,WA,20151.0,89.6,2.22,5.5,1.42,0.05,1.2
Asotin,WA,22521.0,93.63,0.64,1.58,0.82,0.26,3.07
Benton,WA,201803.0,90.16,1.67,1.24,3.39,0.23,3.3
Chelan,WA,78421.0,93.59,0.65,1.91,1.18,0.25,2.42
Clallam,WA,76011.0,86.75,1.04,5.58,1.87,0.19,4.57
Clark,WA,488502.0,86.01,2.38,1.07,5.16,0.83,4.55
Columbia,WA,4161.0,92.65,0.41,1.92,0.94,1.18,2.91
Cowlitz,WA,108950.0,90.92,0.89,1.92,1.82,0.37,4.08
Douglas,WA,42820.0,93.79,0.57,1.76,1.04,0.25,2.59
Ferry,WA,7831.0,76.18,0.51,15.64,1.34,0.19,6.13
Franklin,WA,94680.0,91.03,2.3,1.3,2.34,0.43,2.6
Garfield,WA,2221.0,96.13,0.0,0.59,1.31,0.05,1.94
Grant,WA,98742.0,92.45,1.8,1.95,1.19,0.13,2.48
Grays Harbor,WA,74161.0,86.91,1.32,5.3,1.76,0.34,4.38
Island,WA,84822.0,85.32,2.62,0.94,5.35,0.61,5.16
Jefferson,WA,31902.0,90.45,0.98,2.6,1.98,0.27,3.73
King,WA,2226300.0,67.08,7.02,1.02,18.48,0.91,5.49
Kitsap,WA,270101.0,81.55,3.14,1.71,5.84,1.09,6.66
Kittitas,WA,46573.0,92.2,1.0,1.17,2.17,0.17,3.3
Klickitat,WA,22431.0,92.87,0.57,2.22,0.82,0.11,3.42
Lewis,WA,79481.0,92.11,0.77,1.91,1.21,0.24,3.75
Lincoln,WA,10960.0,94.55,0.43,1.81,0.54,0.07,2.6
Mason,WA,64980.0,87.58,1.26,4.58,1.51,0.48,4.6
Okanogan,WA,42731.0,82.07,0.64,12.33,0.99,0.3,3.66
Pacific,WA,21640.0,89.95,0.93,2.73,2.42,0.12,3.84
Pend Oreille,WA,13742.0,91.02,0.58,3.89,0.89,0.16,3.46
Pierce,WA,888303.0,73.88,7.69,1.63,7.29,1.71,7.8
San Juan,WA,17152.0,94.06,0.57,0.94,1.53,0.12,2.78
Skagit,WA,129200.0,90.13,0.99,2.8,2.37,0.32,3.38
Skamania,WA,12060.0,92.88,0.51,1.67,1.14,0.17,3.63
Snohomish,WA,818702.0,77.91,3.23,1.56,11.53,0.61,5.17
Spokane,WA,515252.0,88.62,1.98,1.73,2.63,0.59,4.44
Stevens,WA,45570.0,88.93,0.46,5.72,0.78,0.2,3.91
Thurston,WA,285803.0,81.63,3.23,1.59,6.46,0.97,6.12
Wahkiakum,WA,4191.0,93.18,0.43,1.43,0.93,0.19,3.84
Walla Walla,WA,62201.0,91.44,2.18,1.37,1.7,0.4,2.91
Whatcom,WA,225300.0,86.46,1.23,3.23,4.48,0.33,4.26
Whitman,WA,50131.0,81.9,1.99,0.84,10.51,0.23,4.52
Yakima,WA,255952.0,87.29,1.51,5.88,1.7,0.22,3.4
Alameda,CA,1671329.0,49.28,11.03,1.06,32.33,0.94,5.35
Alpine,CA,1129.0,67.94,0.35,25.69,1.59,0.0,4.43
Amador,CA,39752.0,89.65,2.68,2.33,1.67,0.29,3.38
Butte,CA,219186.0,85.65,1.9,2.53,5.01,0.29,4.62
Calaveras,CA,45905.0,90.95,1.08,1.97,1.87,0.27,3.85
Colusa,CA,21547.0,91.1,1.31,2.76,1.56,0.6,2.66
Contra Costa,CA,1153526.0,65.13,9.54,1.02,18.3,0.6,5.42
Del Norte,CA,27812.0,78.1,3.52,9.68,3.1,0.19,5.41
El Dorado,CA,192843.0,88.64,1.04,1.33,4.83,0.23,3.93
Fresno,CA,999101.0,76.59,5.8,2.98,11.15,0.28,3.21
Glenn,CA,28393.0,89.08,1.33,3.22,3.13,0.21,3.02
Humboldt,CA,135558.0,83.23,1.49,6.37,2.9,0.33,5.68
Imperial,CA,181215.0,90.19,3.32,2.48,2.11,0.2,1.7
Inyo,CA,18039.0,79.85,1.21,13.5,1.7,0.17,3.56
Kern,CA,900202.0,82.31,6.25,2.63,5.36,0.27,3.17
Kings,CA,152940.0,80.85,7.47,3.21,4.39,0.35,3.74
Lake,CA,64386.0,87.05,2.1,4.47,1.38,0.3,4.7
